
  0%|                                                                                                                                                                                                                                                          | 0/9000 [00:00<?, ?it/s]
0.0004
time for getitem:  0.0015559196472167969
time for getitem:  0.0004999637603759766
time for getitem:  0.0007798671722412109
time for getitem:  0.0005717277526855469
time for getitem:  0.0008232593536376953
time for getitem:  0.0009751319885253906
time for getitem:  0.0005621910095214844
time for getitem:  0.0007791519165039062
time for getitem:  0.0005762577056884766
time for getitem:  0.0004291534423828125
time for getitem:  0.0008003711700439453
time for getitem:  0.0007460117340087891
time for getitem:  0.0005221366882324219
time for getitem:  0.0007312297821044922
time for getitem:  0.0010454654693603516
time for getitem:  0.0005824565887451172
time for getitem:  0.0005784034729003906
time for getitem:  0.0008959770202636719
time for getitem:  0.0004723072052001953
time for getitem:  0.0007631778717041016
time for getitem:  0.0011966228485107422
time for getitem:  0.00104522705078125
time for getitem:  0.00075531005859375
time for getitem:  0.0012717247009277344
time for getitem:  0.0006706714630126953
time for getitem:  0.0004379749298095703
time for getitem:  0.0004761219024658203
time for getitem:  0.0004031658172607422
time for getitem:  0.0005564689636230469
time for getitem:  0.0005178451538085938
time for getitem:  0.0010523796081542969
time for getitem:  0.0009026527404785156
time for getitem:  0.00048828125
time for getitem:  0.0004558563232421875
time for getitem:  0.0006563663482666016
time for getitem:  0.0009925365447998047
time for getitem:  0.0008127689361572266
time for getitem:  0.0007574558258056641
time for getitem:  0.0010142326354980469
time for getitem:  0.0007002353668212891
time for getitem:  0.0004875659942626953
time for getitem:  0.0010249614715576172
time for getitem:  0.0007343292236328125
time for getitem:  0.001434326171875
time for getitem:  0.0009102821350097656
time for getitem:  0.0004107952117919922
time for getitem:  0.0008065700531005859
time for getitem:  0.00045418739318847656
time for getitem:  0.0006244182586669922
time for getitem:  0.0005481243133544922
time for getitem:  0.0008263587951660156
time for getitem:  0.001009225845336914
time for getitem:  0.0006566047668457031
time for getitem:  0.0007951259613037109
time for getitem:  0.0004756450653076172
time for getitem:  0.00048804283142089844
time for getitem:  0.0007915496826171875
time for getitem:  0.0007007122039794922
time for getitem:  0.0008168220520019531
time for getitem:  0.0005207061767578125
time for getitem:  0.0005936622619628906
time for getitem:  0.0004749298095703125
time for getitem:  0.0005009174346923828
time for getitem:  0.0008745193481445312
time for getitem:  0.0007545948028564453
time for getitem:  0.0004818439483642578
time for getitem:  0.0005960464477539062
time for getitem:  0.0007345676422119141
